Traceback (most recent call last):
  File "./combine_obs_2min.py", line 3, in <module>
    from letkfobsio import *
ModuleNotFoundError: No module named 'letkfobsio'
2013:07:13 05-07-00 -> 2013:07:13 05-08-00
2013:07:13 05-07-30 -> 2013:07:13 05-08-00
2013:07:13 05-08-00 -> 2013:07:13 05-08-00
2013:07:13 05-08-30 -> 2013:07:13 05-09-00
2013:07:13 05-09-00 -> 2013:07:13 05-09-00
2013:07:13 05-09-30 -> 2013:07:13 05-10-00
2013:07:13 05-10-00 -> 2013:07:13 05-10-00
2013:07:13 05-08-30 -> 2013:07:13 05-10-00
2013:07:13 05-09-00 -> 2013:07:13 05-10-00
2013:07:13 05-09-30 -> 2013:07:13 05-10-00
2013:07:13 05-10-00 -> 2013:07:13 05-10-00
2013:07:13 05-10-30 -> 2013:07:13 05-11-00
2013:07:13 05-11-00 -> 2013:07:13 05-11-00
2013:07:13 05-11-30 -> 2013:07:13 05-12-00
2013:07:13 05-12-00 -> 2013:07:13 05-12-00
2013:07:13 05-10-30 -> 2013:07:13 05-12-00
2013:07:13 05-11-00 -> 2013:07:13 05-12-00
2013:07:13 05-11-30 -> 2013:07:13 05-12-00
2013:07:13 05-12-00 -> 2013:07:13 05-12-00
2013:07:13 05-12-30 -> 2013:07:13 05-13-00
2013:07:13 05-13-00 -> 2013:07:13 05-13-00
2013:07:13 05-13-30 -> 2013:07:13 05-14-00
2013:07:13 05-14-00 -> 2013:07:13 05-14-00
2013:07:13 05-12-30 -> 2013:07:13 05-14-00
2013:07:13 05-13-00 -> 2013:07:13 05-14-00
2013:07:13 05-13-30 -> 2013:07:13 05-14-00
2013:07:13 05-14-00 -> 2013:07:13 05-14-00
2013:07:13 05-14-30 -> 2013:07:13 05-15-00
2013:07:13 05-15-00 -> 2013:07:13 05-15-00
2013:07:13 05-15-30 -> 2013:07:13 05-16-00
2013:07:13 05-16-00 -> 2013:07:13 05-16-00
2013:07:13 05-14-30 -> 2013:07:13 05-16-00
2013:07:13 05-15-00 -> 2013:07:13 05-16-00
2013:07:13 05-15-30 -> 2013:07:13 05-16-00
2013:07:13 05-16-00 -> 2013:07:13 05-16-00
2013:07:13 05-16-30 -> 2013:07:13 05-17-00
2013:07:13 05-17-00 -> 2013:07:13 05-17-00
2013:07:13 05-17-30 -> 2013:07:13 05-18-00
2013:07:13 05-18-00 -> 2013:07:13 05-18-00
2013:07:13 05-16-30 -> 2013:07:13 05-18-00
2013:07:13 05-17-00 -> 2013:07:13 05-18-00
2013:07:13 05-17-30 -> 2013:07:13 05-18-00
2013:07:13 05-18-00 -> 2013:07:13 05-18-00
2013:07:13 05-18-30 -> 2013:07:13 05-19-00
2013:07:13 05-19-00 -> 2013:07:13 05-19-00
2013:07:13 05-19-30 -> 2013:07:13 05-20-00
2013:07:13 05-20-00 -> 2013:07:13 05-20-00
2013:07:13 05-18-30 -> 2013:07:13 05-20-00
2013:07:13 05-19-00 -> 2013:07:13 05-20-00
2013:07:13 05-19-30 -> 2013:07:13 05-20-00
2013:07:13 05-20-00 -> 2013:07:13 05-20-00
2013:07:13 05-20-30 -> 2013:07:13 05-21-00
2013:07:13 05-21-00 -> 2013:07:13 05-21-00
2013:07:13 05-21-30 -> 2013:07:13 05-22-00
2013:07:13 05-22-00 -> 2013:07:13 05-22-00
2013:07:13 05-20-30 -> 2013:07:13 05-22-00
2013:07:13 05-21-00 -> 2013:07:13 05-22-00
2013:07:13 05-21-30 -> 2013:07:13 05-22-00
2013:07:13 05-22-00 -> 2013:07:13 05-22-00
2013:07:13 05-22-30 -> 2013:07:13 05-23-00
2013:07:13 05-23-00 -> 2013:07:13 05-23-00
2013:07:13 05-23-30 -> 2013:07:13 05-24-00
2013:07:13 05-24-00 -> 2013:07:13 05-24-00
2013:07:13 05-22-30 -> 2013:07:13 05-24-00
2013:07:13 05-23-00 -> 2013:07:13 05-24-00
2013:07:13 05-23-30 -> 2013:07:13 05-24-00
2013:07:13 05-24-00 -> 2013:07:13 05-24-00
2013:07:13 05-24-30 -> 2013:07:13 05-25-00
2013:07:13 05-25-00 -> 2013:07:13 05-25-00
2013:07:13 05-25-30 -> 2013:07:13 05-26-00
2013:07:13 05-26-00 -> 2013:07:13 05-26-00
2013:07:13 05-24-30 -> 2013:07:13 05-26-00
2013:07:13 05-25-00 -> 2013:07:13 05-26-00
2013:07:13 05-25-30 -> 2013:07:13 05-26-00
2013:07:13 05-26-00 -> 2013:07:13 05-26-00
2013:07:13 05-26-30 -> 2013:07:13 05-27-00
2013:07:13 05-27-00 -> 2013:07:13 05-27-00
2013:07:13 05-27-30 -> 2013:07:13 05-28-00
2013:07:13 05-28-00 -> 2013:07:13 05-28-00
2013:07:13 05-26-30 -> 2013:07:13 05-28-00
2013:07:13 05-27-00 -> 2013:07:13 05-28-00
2013:07:13 05-27-30 -> 2013:07:13 05-28-00
2013:07:13 05-28-00 -> 2013:07:13 05-28-00
2013:07:13 05-28-30 -> 2013:07:13 05-29-00
2013:07:13 05-29-00 -> 2013:07:13 05-29-00
2013:07:13 05-29-30 -> 2013:07:13 05-30-00
2013:07:13 05-30-00 -> 2013:07:13 05-30-00
2013:07:13 05-28-30 -> 2013:07:13 05-30-00
2013:07:13 05-29-00 -> 2013:07:13 05-30-00
2013:07:13 05-29-30 -> 2013:07:13 05-30-00
2013:07:13 05-30-00 -> 2013:07:13 05-30-00
2013:07:13 05-30-30 -> 2013:07:13 05-31-00
2013:07:13 05-31-00 -> 2013:07:13 05-31-00
2013:07:13 05-31-30 -> 2013:07:13 05-32-00
2013:07:13 05-32-00 -> 2013:07:13 05-32-00
2013:07:13 05-30-30 -> 2013:07:13 05-32-00
2013:07:13 05-31-00 -> 2013:07:13 05-32-00
2013:07:13 05-31-30 -> 2013:07:13 05-32-00
2013:07:13 05-32-00 -> 2013:07:13 05-32-00
2013:07:13 05-32-30 -> 2013:07:13 05-33-00
2013:07:13 05-33-00 -> 2013:07:13 05-33-00
2013:07:13 05-33-30 -> 2013:07:13 05-34-00
2013:07:13 05-34-00 -> 2013:07:13 05-34-00
2013:07:13 05-32-30 -> 2013:07:13 05-34-00
2013:07:13 05-33-00 -> 2013:07:13 05-34-00
2013:07:13 05-33-30 -> 2013:07:13 05-34-00
2013:07:13 05-34-00 -> 2013:07:13 05-34-00
2013:07:13 05-34-30 -> 2013:07:13 05-35-00
2013:07:13 05-35-00 -> 2013:07:13 05-35-00
2013:07:13 05-35-30 -> 2013:07:13 05-36-00
2013:07:13 05-36-00 -> 2013:07:13 05-36-00
2013:07:13 05-34-30 -> 2013:07:13 05-36-00
2013:07:13 05-35-00 -> 2013:07:13 05-36-00
2013:07:13 05-35-30 -> 2013:07:13 05-36-00
2013:07:13 05-36-00 -> 2013:07:13 05-36-00
2013:07:13 05-36-30 -> 2013:07:13 05-37-00
2013:07:13 05-37-00 -> 2013:07:13 05-37-00
2013:07:13 05-37-30 -> 2013:07:13 05-38-00
2013:07:13 05-38-00 -> 2013:07:13 05-38-00
2013:07:13 05-36-30 -> 2013:07:13 05-38-00
2013:07:13 05-37-00 -> 2013:07:13 05-38-00
2013:07:13 05-37-30 -> 2013:07:13 05-38-00
2013:07:13 05-38-00 -> 2013:07:13 05-38-00
2013:07:13 05-38-30 -> 2013:07:13 05-39-00
2013:07:13 05-39-00 -> 2013:07:13 05-39-00
2013:07:13 05-39-30 -> 2013:07:13 05-40-00
